id,pop,YearOnly,hatchDoY,lat,lon,Site Name,catchDoY,estimatedAge
275,M. peelii,2013,306.961545,-35.4,149.01,Kambah Pool,324,10.12
276,M. peelii,2013,306.0093181,-35.4,149.01,Kambah Pool,324,11.07
277,M. peelii,2013,303.3430829,-35.4,149.01,Kambah Pool,324,13.74
278,M. peelii,2013,303.3430829,-35.4,149.01,Kambah Pool,324,13.74
279,M. peelii,2013,302.9621922,-35.4,149.01,Kambah Pool,324,14.12
280,M. peelii,2013,305.6295105,-35.52,149.07,Tharwa Sandwash,325,12.4
282,M. peelii,2013,306.2008466,-35.52,149.07,Tharwa Sandwash,325,11.83
283,M. peelii,2013,305.6295105,-35.52,149.07,Tharwa Sandwash,325,12.4
284,M. peelii,2013,305.4390652,-35.52,149.07,Tharwa Sandwash,325,12.59
290,M. peelii,2013,304.9764978,-35.29,148.96,Nerreman,329,16.4
292,M. peelii,2013,307.2618422,-35.29,148.96,Nerreman,329,14.12
293,M. peelii,2013,305.7382793,-35.29,148.96,Nerreman,329,15.64
296,M. peelii,2013,306.8809515,-35.52,149.07,Tharwa Sandwash,329,14.5
297,M. peelii,2013,306.6905061,-35.52,149.07,Tharwa Sandwash,329,14.69
298,M. peelii,2013,304.7860524,-35.52,149.07,Tharwa Sandwash,329,16.59
300,M. peelii,2013,308.4419322,-35.52,149.07,Tharwa Sandwash,330,14.12
302,F1 Hybrid,2013,307.2040373,-35.52,149.07,Tharwa Sandwash,330,15.35
303,M. peelii,2013,307.3944827,-35.52,149.07,Tharwa Sandwash,330,15.16
304,M. peelii,2013,305.9661424,-35.52,149.07,Tharwa Sandwash,330,16.59
314,M. peelii,2013,308.9844273,-35.52,149.07,Tharwa Sandwash,331,15.35
315,M. peelii,2013,309.9366542,-35.52,149.07,Tharwa Sandwash,331,14.4
317,M. peelii,2013,307.556087,-35.52,149.07,Tharwa Sandwash,331,16.78
319,M. peelii,2013,310.9566642,-35.52,149.07,Tharwa Sandwash,332,14.4
320,M. peelii,2013,311.6232229,-35.52,149.07,Tharwa Sandwash,332,13.74
321,M. peelii,2013,310.4805507,-35.52,149.07,Tharwa Sandwash,332,14.88
322,M. peelii,2013,310.7662188,-35.52,149.07,Tharwa Sandwash,332,14.59
