"id","YearOnly","estimatedAge","pop","Day of Year","hatchedDoY","Delta13C","Delta15N","CNRatio","Distance to Angle Crossing (m)","lat","lon","raceCladeName","cladeGoTName","mumPulldown","Fathers","inbredCoeff"
175,2012,9.25,"Nerreman",320,310.74,,,,46228.76,-35.29,148.96,"Pondi","Alchemists' Guild","MH16","FH16",-0.91
176,2012,20.39,"Lanyon",334,313.60,,,,13980.31,-35.47,149.06,"Goodoo","Wildlings",,,-0.15
177,2012,19.13,"Lanyon",334,314.86,,,,13980.31,-35.47,149.06,"Goodoo","Wildlings","MH14","FH14",-0.50
179,2012,18.08,"Tharwa Sandwash",333,314.91,,,,8343.72,-35.52,149.07,"Goodoo","Wildlings","Quaithe","Pyat",-0.01
181,2012,15.14,"Nerreman",353,337.85,,,,46228.76,-35.29,148.96,"Goodoo","Lannister",,,-0.02
182,2012,13.46,"Kambah Pool",348,334.53,,,,28825.03,-35.40,149.01,"Goodoo","Nights Watch",,,-0.04
183,2012,14.09,"Kambah Pool",348,333.90,,,,28825.03,-35.40,149.01,"Goodoo","Wildlings",,,0.01
184,2012,12.93,"Murramore",338,325.06,,,,20813.63,-35.43,149.07,"Goodoo","Lannister",,,-0.03
185,2013,12.21,"Kambah Pool",311,298.78,-24.29,17.22,3.22,28825.03,-35.40,149.01,"Goodoo","Nights Watch","Daenerys Targaryen","Drogo",0.05
186,2013,12.40,"Kambah Pool",311,298.59,-24.42,17.43,3.14,28825.03,-35.40,149.01,"Goodoo","Nights Watch","Daenerys Targaryen","Drogo",-0.02
187,2013,12.59,"Kambah Pool",311,298.40,-24.18,17.42,3.15,28825.03,-35.40,149.01,"Goodoo","Nights Watch","Daenerys Targaryen","Drogo",0.06
188,2013,12.50,"Kambah Pool",311,298.49,-23.92,17.31,3.19,28825.03,-35.40,149.01,"Goodoo","Nights Watch","Daenerys Targaryen","Drogo",0.01
189,2013,12.59,"Kambah Pool",311,298.40,-24.39,17.34,3.19,28825.03,-35.40,149.01,"Goodoo","Nights Watch","Daenerys Targaryen","Drogo",0.08
190,2013,12.12,"Kambah Pool",311,298.87,-24.27,17.34,3.17,28825.03,-35.40,149.01,"Goodoo","Nights Watch","Daenerys Targaryen","Drogo",-1.4e-03
191,2013,13.93,"Bullen Range",311,297.06,-24.12,17.33,3.20,34906.28,-35.37,148.98,"Goodoo","Lannister","Nymeria Sand","Areo",-0.06
192,2013,12.12,"Bullen Range",311,298.87,-23.18,17.07,3.23,34906.28,-35.37,148.98,"Goodoo","Wildlings",,,0.01
193,2013,13.16,"Bullen Range",311,297.83,-24.00,17.31,3.19,34906.28,-35.37,148.98,"Goodoo","Lannister","Nymeria Sand","Areo",-0.04
194,2013,10.97,"Bullen Range",311,300.02,-22.92,16.24,3.21,34906.28,-35.37,148.98,"Goodoo","Nights Watch","Lysa Tully","Petyr",0.10
195,2013,10.69,"Bullen Range",311,300.30,-23.53,16.56,3.28,34906.28,-35.37,148.98,"Goodoo","Nights Watch",,,0.05
196,2013,10.31,"Bullen Range",311,300.68,-23.16,12.97,3.29,34906.28,-35.37,148.98,"Goodoo","Lannister",,,-0.03
197,2013,11.26,"Bullen Range",311,299.73,-24.87,11.50,3.31,34906.28,-35.37,148.98,"Goodoo","Wildlings",,,-2.4e-03
198,2013,13.45,"Bullen Range",311,297.54,-24.21,17.22,3.18,34906.28,-35.37,148.98,"Goodoo","Lannister","Nymeria Sand","Areo",0.15
199,2013,11.07,"Bullen Range",311,299.92,-22.99,16.16,3.29,34906.28,-35.37,148.98,"Goodoo","Nights Watch","Lysa Tully","Petyr",0.15
200,2013,13.93,"Kambah Pool",312,298.06,-24.25,17.37,3.18,28825.03,-35.40,149.01,"Goodoo","Nights Watch","Daenerys Targaryen","Drogo",0.03
201,2013,12.97,"Kambah Pool",312,299.02,-24.42,17.48,3.20,28825.03,-35.40,149.01,"Goodoo","Nights Watch","Daenerys Targaryen","Drogo",7.5e-03
202,2013,12.59,"Kambah Pool",312,299.40,-25.04,13.29,3.22,28825.03,-35.40,149.01,"Goodoo","Wildlings","Tyene Sand","Bronn",0.15
203,2013,12.31,"Kambah Pool",312,299.68,-24.57,13.31,3.21,28825.03,-35.40,149.01,"Goodoo","Wildlings","Tyene Sand","Bronn",0.08
204,2013,12.88,"Kambah Pool",312,299.11,-24.15,17.25,3.20,28825.03,-35.40,149.01,"Goodoo","Nights Watch","Daenerys Targaryen","Drogo",-0.10
205,2013,13.16,"Kambah Pool",312,298.83,-24.31,17.28,3.16,28825.03,-35.40,149.01,"Goodoo","Nights Watch","Daenerys Targaryen","Drogo",0.01
206,2013,14.12,"Nerreman",315,300.87,-22.88,12.82,3.12,46228.76,-35.29,148.96,"Goodoo","Wildlings","Selyse Baratheon","Davos",0.15
207,2013,15.26,"Nerreman",315,299.73,-23.13,16.24,3.12,46228.76,-35.29,148.96,"Goodoo","Wildlings",,"Renly",0.05
208,2013,15.07,"Nerreman",315,299.92,-24.26,19.54,3.12,46228.76,-35.29,148.96,"Goodoo","Lannister",,,0.06
209,2013,14.69,"Nerreman",315,300.30,-23.59,13.82,3.13,46228.76,-35.29,148.96,"Goodoo","Lannister",,,5.9e-03
210,2013,13.74,"Nerreman",315,301.25,-23.65,17.35,3.16,46228.76,-35.29,148.96,"Goodoo","Lannister","Ygritte","Jon",0.03
211,2013,13.93,"Nerreman",315,301.06,-22.69,12.50,3.05,46228.76,-35.29,148.96,"Goodoo","Wildlings",,,0.01
