"pair.no","ind1.id","ind2.id","group","trioml","wang","lynchli","lynchrd","ritland","quellergt","dyadml"
"216",216,"185","284","1828",0.0027,0.1152,0.1188,-0.028,-0.0232,-0.0153,0.0027
"217",217,"185","282","1828",0.0388,0.1772,0.177,0.0122,0.0101,0.0203,0.0388
"218",218,"185","315","1831",0,0.2083,0.2019,-0.1124,-0.0785,-0.3142,0
"219",219,"185","317","1831",0,0.1116,0.1134,-0.0441,-0.0367,0.0576,0
"220",220,"185","319","1831",0.0456,0.1557,0.1562,0.0366,0.0321,0.1113,0.0456
"221",221,"185","296","1829",0,-0.0846,-0.082,-0.0869,-0.0857,-0.0377,0
"222",222,"185","297","1829",0,0.245,0.2393,-0.0482,-0.034,-0.1096,0
"223",223,"185","298","1829",0,0.0331,0.0386,-0.0295,-0.0268,0.0469,0
"224",224,"185","300","1830",0,0.2,0.1925,-0.1447,-0.0997,-0.3388,0
"225",225,"185","303","1830",0,-0.0725,-0.0663,-0.1051,-0.0991,-0.0903,0
"226",226,"185","304","1830",0,0.1422,0.1395,-0.1318,-0.0974,-0.1925,0
"227",227,"185","320","1832",0.0834,0.1517,0.1525,0.078,0.0711,0.132,0.0837
"228",228,"185","321","1832",0.0711,0.1284,0.1302,0.0642,0.0593,0.1377,0.0711
"229",229,"185","322","1832",0.143,0.206,0.205,0.1314,0.1207,0.2184,0.143
"230",230,"185","329","1832",0,0.2052,0.1988,-0.0874,-0.0637,-0.2474,0
"231",231,"185","330","1833",0,0.179,0.1707,-0.1643,-0.1158,-0.4086,0
"232",232,"185","339","1833",0,-0.069,-0.0721,-0.0775,-0.0778,-0.0176,0
"233",233,"185","341","1834",0,-0.1269,-0.1255,-0.1418,-0.139,-0.0793,0
"234",234,"185","342","1834",0,-0.0325,-0.032,-0.1046,-0.0973,-0.037,0
"235",235,"185","348","1834",0,0.0577,0.0571,-0.0926,-0.0795,-0.0226,0
"236",236,"185","349","1834",0,0.0617,0.0616,-0.1431,-0.1157,-0.1313,0
"237",237,"185","351","1835",0,0.1281,0.1276,-0.0983,-0.076,-0.0743,0
"238",238,"185","A21","18A2",0.0036,-0.2235,-0.2133,-0.0851,-0.0917,-0.0076,0.0036
"239",239,"185","A22","18A2",0.0456,0.0149,0.0221,0.0433,0.0426,0.1121,0.0456
"240",240,"185","A23","18A2",0.0745,0.0169,0.0213,0.0476,0.0479,0.1265,0.0801
"241",241,"185","A24","18A2",0.0521,-0.0139,-0.0046,0.0525,0.0534,0.1084,0.0521
"242",242,"185","A37","18A3",0.2004,0.1758,0.1777,0.1972,0.198,0.2397,0.2004
"243",243,"185","A29","18A2",0.0625,-0.1326,-0.1248,0.0621,0.0699,0.1252,0.0683
"244",244,"185","A30","18A3",0,-0.0558,-0.0471,-0.0534,-0.0513,0.03,0
"245",245,"185","A31","18A3",0,-0.0174,-0.0132,-0.0771,-0.0714,0.0045,0
"246",246,"185","A38","18A3",0.0699,0.0222,0.0287,0.0707,0.0715,0.1542,0.0699
"247",247,"185","A47","18A4",0.0871,-0.0418,-0.0424,0.0993,0.1125,0.1793,0.0966
"248",248,"185","A39","18A3",0,0.0249,0.0318,-0.0046,-0.0043,0.0823,0
"249",249,"185","A40","18A4",0.0314,-0.0451,-0.0422,-0.0046,-0.0047,0.0674,0.0314
"250",250,"185","A41","18A4",0.1238,0.1121,0.1189,0.1244,0.1212,0.1999,0.1239
"251",251,"185","A42","18A4",0.0791,0.1451,0.1484,0.0767,0.0693,0.1519,0.0835
"252",252,"185","A43","18A4",0,-0.2769,-0.2752,-0.1861,-0.1972,-0.1194,0
"253",253,"185","A44","18A4",0,-0.0458,-0.038,-0.0209,-0.0205,0.0471,0
"254",254,"185","A45","18A4",0.0374,-0.0653,-0.0554,0.0379,0.0395,0.0939,0.0374
"255",255,"185","A46","18A4",0.0465,-0.0157,-0.0113,0.0487,0.0503,0.1423,0.047
"256",256,"185","A26","18A2",0.0178,-0.027,-0.0226,0.0171,0.0173,0.0771,0.0178
"257",257,"185","A36","18A3",0.0648,-0.1266,-0.1189,0.0197,0.0214,0.063,0.0705
"258",258,"185","A33","18A3",0,-0.0547,-0.0488,-0.0375,-0.037,0.0448,0
"259",259,"185","A34","18A3",0,-0.0873,-0.0791,-0.0482,-0.0476,0.0216,0
"260",260,"185","A35","18A3",0.0169,-0.0071,-4e-04,0.0155,0.0153,0.0979,0.0169
"261",261,"185","A48","18A4",0,-0.0751,-0.067,-0.0254,-0.0256,0.0412,0
"262",262,"185","A28","18A2",0,-0.171,-0.1692,-0.0196,-0.0216,0.016,0
"263",263,"186","187","1818",0.3847,0.3909,0.3965,0.3878,0.3668,0.4165,0.3874
"264",264,"186","188","1818",0.4429,0.4813,0.484,0.4474,0.4089,0.4852,0.4452
"265",265,"186","189","1818",0.5472,0.5493,0.5511,0.555,0.544,0.5688,0.5494
"266",266,"186","190","1819",0.4516,0.4724,0.4732,0.4171,0.3736,0.469,0.4577
"267",267,"186","191","1819",0.1229,0.1756,0.1801,0.1071,0.096,0.1545,0.1229
